date,platform,campaign,sku,impressions,clicks,spend,orders,revenue
2025-01-27,Zepto,Organic Snacks Push,Millet Chips Peri Peri 100g,4100,184,780,12,1800
2025-01-27,Zepto,Organic Snacks Push,Quinoa Puffs Cheese 80g,2500,100,550,7,1050
2025-01-27,Zepto,Organic Snacks Push,Ragi Cookies Jaggery 150g,1400,42,500,2,360
2025-01-27,Zepto,Healthy Drinks Awareness,Cold Pressed Juice Orange 250ml,3200,144,680,9,1440
2025-01-27,Zepto,Healthy Drinks Awareness,Kombucha Ginger Lemon 300ml,1100,33,550,1,250
2025-01-28,Zepto,Organic Snacks Push,Millet Chips Peri Peri 100g,4500,202,810,14,2100
2025-01-28,Zepto,Organic Snacks Push,Quinoa Puffs Cheese 80g,2700,108,580,8,1200
2025-01-28,Zepto,Organic Snacks Push,Ragi Cookies Jaggery 150g,1300,39,480,1,180
2025-01-28,Zepto,Healthy Drinks Awareness,Cold Pressed Juice Orange 250ml,3500,157,710,10,1600
2025-01-28,Zepto,Healthy Drinks Awareness,Kombucha Ginger Lemon 300ml,1000,30,530,1,250
2025-01-29,Zepto,Organic Snacks Push,Millet Chips Peri Peri 100g,3800,171,750,11,1650
2025-01-29,Zepto,Organic Snacks Push,Quinoa Puffs Cheese 80g,2400,96,540,6,900
2025-01-29,Zepto,Organic Snacks Push,Ragi Cookies Jaggery 150g,1200,36,460,1,180
2025-01-29,Zepto,Healthy Drinks Awareness,Cold Pressed Juice Orange 250ml,3000,135,650,8,1280
2025-01-29,Zepto,Healthy Drinks Awareness,Kombucha Ginger Lemon 300ml,900,27,510,1,250
2025-01-27,Blinkit,Snack Discovery,Millet Chips Peri Peri 100g,2800,112,580,7,1050
2025-01-27,Blinkit,Snack Discovery,Quinoa Puffs Cheese 80g,1800,72,420,4,600
2025-01-28,Blinkit,Snack Discovery,Millet Chips Peri Peri 100g,3000,120,600,8,1200
2025-01-28,Blinkit,Snack Discovery,Quinoa Puffs Cheese 80g,1700,68,400,4,600
2025-01-29,Blinkit,Snack Discovery,Millet Chips Peri Peri 100g,2600,104,560,6,900
2025-01-29,Blinkit,Snack Discovery,Quinoa Puffs Cheese 80g,1600,64,390,3,450
2025-01-27,Zepto,Republic Day Offer,Millet Chips Peri Peri 100g,1800,90,400,5,750
2025-01-28,Zepto,Republic Day Offer,Millet Chips Peri Peri 100g,2200,110,420,6,900
2025-01-29,Zepto,Republic Day Offer,Millet Chips Peri Peri 100g,1500,75,380,4,600
