date,platform,campaign,sku,impressions,clicks,spend,orders,revenue
2025-01-15,Zepto,Maggi Search Ads,Maggi 2-Minute Masala 70g,64000,3200,24500,112,67200
2025-01-15,Zepto,Maggi Search Ads,Maggi Chicken Noodles 71g,42000,1890,14200,48,24000
2025-01-15,Zepto,Snacks Branded Campaign,Lays Classic Salted 52g,55000,2750,19800,95,42750
2025-01-15,Zepto,Snacks Branded Campaign,Bingo Mad Angles Tomato,31000,1395,10850,38,17100
2025-01-15,Zepto,Snacks Branded Campaign,Kurkure Masala Munch 94g,28000,1260,9200,32,14400
2025-01-16,Zepto,Maggi Search Ads,Maggi 2-Minute Masala 70g,61000,3050,23800,108,64800
2025-01-16,Zepto,Maggi Search Ads,Maggi Chicken Noodles 71g,39000,1755,13500,44,22000
2025-01-16,Zepto,Snacks Branded Campaign,Lays Classic Salted 52g,52000,2600,18900,89,40050
2025-01-16,Zepto,Snacks Branded Campaign,Bingo Mad Angles Tomato,29000,1305,10100,35,15750
2025-01-16,Zepto,Snacks Branded Campaign,Kurkure Masala Munch 94g,26000,1170,8700,30,13500
2025-01-17,Zepto,Maggi Search Ads,Maggi 2-Minute Masala 70g,67000,3350,25200,118,70800
2025-01-17,Zepto,Maggi Search Ads,Maggi Chicken Noodles 71g,44000,1980,14900,50,25000
2025-01-17,Zepto,Snacks Branded Campaign,Lays Classic Salted 52g,57000,2850,20500,98,44100
2025-01-17,Zepto,Snacks Branded Campaign,Bingo Mad Angles Tomato,33000,1485,11200,40,18000
2025-01-17,Zepto,Snacks Branded Campaign,Kurkure Masala Munch 94g,30000,1350,9800,34,15300
2025-01-15,Blinkit,Beverages Top Shelf,Coca-Cola 750ml,48000,2160,16200,72,36000
2025-01-15,Blinkit,Beverages Top Shelf,Pepsi 750ml,38000,1710,12800,55,27500
2025-01-15,Blinkit,Beverages Top Shelf,Sprite 750ml,25000,1125,8400,35,17500
2025-01-15,Blinkit,Dairy Essentials,Amul Butter 500g,33000,1485,11100,58,29000
2025-01-15,Blinkit,Dairy Essentials,Mother Dairy Milk 1L,21000,945,7100,42,21000
2025-01-16,Blinkit,Beverages Top Shelf,Coca-Cola 750ml,46000,2070,15800,68,34000
2025-01-16,Blinkit,Beverages Top Shelf,Pepsi 750ml,36000,1620,12200,52,26000
2025-01-16,Blinkit,Beverages Top Shelf,Sprite 750ml,23000,1035,7800,32,16000
2025-01-16,Blinkit,Dairy Essentials,Amul Butter 500g,31000,1395,10500,55,27500
2025-01-16,Blinkit,Dairy Essentials,Mother Dairy Milk 1L,19000,855,6500,38,19000
2025-01-17,Blinkit,Beverages Top Shelf,Coca-Cola 750ml,50000,2250,16800,75,37500
2025-01-17,Blinkit,Beverages Top Shelf,Pepsi 750ml,40000,1800,13400,58,29000
2025-01-17,Blinkit,Beverages Top Shelf,Sprite 750ml,27000,1215,9000,38,19000
2025-01-17,Blinkit,Dairy Essentials,Amul Butter 500g,35000,1575,11700,62,31000
2025-01-17,Blinkit,Dairy Essentials,Mother Dairy Milk 1L,23000,1035,7700,45,22500
2025-01-15,Instamart,Personal Care Push,Dove Shampoo 340ml,18000,810,6100,22,11000
2025-01-15,Instamart,Personal Care Push,Colgate MaxFresh 150g,15000,675,5100,28,14000
2025-01-16,Instamart,Personal Care Push,Dove Shampoo 340ml,17000,765,5800,20,10000
2025-01-16,Instamart,Personal Care Push,Colgate MaxFresh 150g,14000,630,4800,26,13000
2025-01-17,Instamart,Personal Care Push,Dove Shampoo 340ml,19000,855,6400,24,12000
2025-01-17,Instamart,Personal Care Push,Colgate MaxFresh 150g,16000,720,5400,30,15000
